,AGREEMENT_RK,TARGET,AGE,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,GENDER,CHILD_TOTAL,DEPENDANTS,PERSONAL_INCOME,LOAN_NUM_TOTAL,LOAN_NUM_CLOSED
0,60099204,1,42,1,0,1,1,0,25000.0,1,0
1,62244665,0,28,1,0,1,1,1,10000.0,1,0
2,61050759,0,64,1,1,0,2,0,30000.0,1,1
3,62079659,0,54,1,0,1,0,0,25000.0,1,0
4,66583553,0,26,1,0,0,1,1,15000.0,2,2
5,66759647,0,63,0,1,1,2,0,7800.0,1,1
6,60045224,1,32,1,0,0,0,0,12000.0,1,0
7,66593813,0,52,1,0,1,1,0,8000.0,3,3
8,62380912,0,47,1,0,0,2,0,10000.0,1,0
9,65420244,0,23,1,0,1,0,0,7000.0,1,1
10,64885090,0,42,1,0,1,2,1,9000.0,1,0
11,61241205,0,31,1,0,1,0,0,12000.0,1,0
12,65396723,0,25,1,0,1,0,0,4900.0,1,1
13,63590644,0,37,1,0,1,2,2,20000.0,1,0
14,62168155,0,52,0,1,1,3,0,5500.0,1,0
15,74560681,0,46,1,0,1,2,0,55000.0,2,2
16,60387399,0,28,1,0,1,1,1,8500.0,1,0
17,62810257,0,62,0,1,1,0,0,8000.0,1,0
18,61376906,0,50,1,0,0,1,0,20000.0,1,0
19,62178934,1,30,1,0,1,2,2,5000.0,1,0
20,61257026,0,64,0,1,0,0,0,9000.0,1,0
21,62171073,0,41,1,0,1,0,0,6500.0,1,0
22,64365052,0,27,1,0,1,0,0,7000.0,1,1
23,60456097,0,41,1,0,1,0,0,8000.0,1,1
24,75021737,0,30,1,0,1,0,0,15000.0,3,2
25,74834078,0,61,1,1,1,2,0,27000.0,1,0
26,67335615,0,38,1,0,1,0,1,15000.0,3,1
27,66194407,0,51,1,0,1,0,0,6000.0,1,0
28,63326150,0,58,0,1,0,2,0,10500.0,1,0
29,59911832,0,35,1,0,0,1,1,15000.0,2,2
30,66756441,0,45,1,0,0,2,1,20000.0,4,4
31,65405795,0,25,1,0,1,0,0,9000.0,2,2
32,62083785,0,62,1,1,1,2,0,13000.0,1,0
33,62128075,0,30,1,0,1,1,1,11000.0,1,0
34,61427836,0,56,1,1,1,3,0,20000.0,1,1
35,62599729,0,36,1,0,1,1,1,15000.0,1,0
36,62623117,0,55,1,0,1,2,0,13000.0,1,0
37,61253219,0,29,1,0,0,1,1,25000.0,1,0
38,63913234,0,32,1,0,0,2,1,21000.0,1,0
39,67020373,0,36,1,0,0,1,1,15000.0,2,2
40,61306799,0,27,1,0,0,2,2,6500.0,1,0
41,61378742,0,41,1,0,0,3,2,10000.0,1,0
42,67531672,0,54,0,1,1,2,0,6500.0,1,0
43,60468475,0,52,1,0,0,1,0,30000.0,1,1
44,66961178,0,28,1,0,1,1,1,12000.0,1,0
45,66902951,0,26,1,0,1,1,1,8000.0,1,0
46,61958864,0,27,1,0,0,1,1,20000.0,1,0
47,64564180,1,28,1,0,0,0,0,12000.0,1,0
48,61243509,0,25,1,0,1,1,1,11000.0,1,0
49,72289471,0,39,1,0,1,2,2,8000.0,2,1
50,66661261,1,64,1,0,1,0,0,23000.0,1,0
51,63907628,0,43,1,0,0,1,1,20000.0,1,0
52,65007484,0,44,1,0,0,0,0,22000.0,1,0
53,65007484,0,44,1,0,0,0,0,22000.0,1,0
54,64335140,0,34,1,0,1,2,2,15000.0,1,0
55,66745524,1,34,1,0,1,1,1,7000.0,2,2
56,61938660,0,51,1,0,1,1,0,7500.0,2,2
57,75214244,0,40,1,0,0,2,2,15000.0,1,0
58,62094470,1,27,1,0,0,1,1,12000.0,1,0
59,59930422,0,29,1,0,0,0,0,20000.0,1,1
60,59930422,0,29,1,0,0,0,0,20000.0,1,1
61,60098380,0,42,1,0,1,2,2,11000.0,1,0
62,62384561,0,50,1,0,1,1,0,10000.0,1,0
63,59962548,0,26,1,0,0,1,1,15000.0,1,1
64,61244949,1,22,1,0,0,0,0,10000.0,1,0
65,62249206,0,57,1,1,0,2,1,23000.0,1,0
66,62786543,0,50,1,0,1,0,0,15000.0,1,0
67,62786543,0,50,1,0,1,0,0,15000.0,1,0
68,61423700,0,35,1,0,0,1,1,12500.0,1,0
69,66771811,0,55,1,1,1,1,0,20000.0,2,2
70,66670943,0,34,1,0,0,0,1,12000.0,3,3
71,62236055,0,28,1,0,0,1,1,6000.0,1,0
72,62593286,0,59,1,0,0,3,0,17500.0,1,0
73,66782719,0,47,1,0,1,1,0,18000.0,3,3
74,66432857,0,41,1,0,1,2,2,9000.0,2,2
75,66530733,1,36,1,0,1,0,0,7000.0,2,2
76,61467586,0,55,1,0,0,0,0,18000.0,1,0
77,61845475,0,52,1,0,0,1,0,25000.0,1,0
78,74995307,1,46,1,0,0,2,0,30000.0,1,0
79,59973701,0,23,1,0,1,1,1,7000.0,1,0
80,67321747,0,23,1,0,1,0,0,9000.0,1,0
81,64471913,0,40,1,0,1,1,1,15000.0,1,0
82,61231849,0,36,1,0,1,3,3,11000.0,1,1
83,63986090,0,23,1,0,0,1,1,15000.0,1,0
84,62024184,0,40,1,0,1,1,0,25000.0,1,0
85,66760003,0,61,0,1,0,0,0,8500.0,3,3
86,64551242,0,48,1,0,0,0,0,9000.0,2,0
87,61316755,0,52,1,0,1,0,0,5000.0,1,0
88,63094088,0,41,1,0,0,1,1,40000.0,1,0
89,67173594,1,44,1,0,1,2,1,30000.0,2,2
90,62799248,0,36,1,0,1,3,3,8000.0,1,0
91,62776533,0,42,1,0,0,3,2,12000.0,1,0
92,61236972,1,22,1,0,1,0,1,14000.0,1,0
93,60106019,0,49,1,0,1,2,0,17000.0,1,0
94,62809362,0,39,1,0,1,2,2,5000.0,1,0
95,61151593,0,41,1,0,0,1,1,25000.0,1,0
96,74190360,0,63,0,1,1,2,0,6000.0,1,1
97,74190360,0,63,0,1,1,2,0,6000.0,1,1
98,62023684,0,33,1,0,1,1,1,15000.0,1,0
99,61079700,0,38,1,0,0,1,1,16000.0,1,1
100,72285109,0,29,1,0,1,1,1,10000.0,1,1
101,73827016,0,49,1,0,1,1,1,8000.0,2,1
102,61372316,0,50,1,0,1,2,0,6000.0,1,0
103,59939829,0,48,1,0,0,0,0,12000.0,1,1
104,64839795,0,42,1,0,1,2,2,11000.0,1,0
105,64563165,0,39,1,0,0,1,1,18000.0,1,0
106,66524810,0,61,1,0,1,0,0,17000.0,2,2
107,60096783,0,42,1,0,1,2,2,14000.0,1,0
108,65482083,0,23,1,0,1,0,0,10000.0,2,2
109,74467755,0,28,1,0,1,0,0,15000.0,4,4
110,64445162,0,56,1,1,1,0,0,30000.0,1,1
111,66700908,0,28,1,0,1,1,1,18000.0,1,1
112,61110489,0,27,1,0,0,1,1,25000.0,1,0
113,74544319,0,46,1,0,1,1,0,11000.0,3,2
114,64995451,0,38,1,0,1,1,1,15000.0,1,1
115,64827687,0,35,1,0,1,2,2,8700.0,1,0
116,67421931,1,37,1,0,1,1,1,20000.0,1,0
117,75017098,0,49,1,0,0,2,1,15000.0,2,2
118,74460711,1,37,1,0,0,3,3,40000.0,2,2
119,60086903,0,36,1,0,1,2,2,20000.0,1,0
120,61054691,0,51,1,0,0,2,0,12000.0,1,1
121,73830243,1,47,1,0,1,0,0,10000.0,1,0
122,75021931,0,46,1,0,1,0,0,20000.0,1,1
123,62590815,1,28,1,0,1,1,1,55000.0,1,0
124,60465966,0,53,1,0,1,2,0,20000.0,1,1
125,66420656,0,26,1,0,0,1,1,9000.0,2,2
126,66773911,1,61,1,0,0,4,0,14000.0,2,2
127,60466295,0,48,1,0,1,2,0,7000.0,1,0
128,61111863,0,30,1,0,1,1,1,16000.0,1,0
129,64898724,1,22,1,0,0,1,0,20000.0,1,0
130,61235487,0,53,1,0,1,2,0,8000.0,1,1
131,61299664,0,56,1,0,1,1,0,11500.0,1,1
132,62994403,0,54,1,0,0,2,0,8000.0,1,0
133,67322945,0,40,1,0,0,1,1,35000.0,1,0
134,67426389,0,56,0,1,0,1,0,9000.0,1,0
135,61302471,0,46,1,0,1,0,0,9000.0,1,1
136,61151598,0,52,1,0,1,0,0,15000.0,1,0
137,62185166,1,32,1,0,0,2,2,12000.0,1,0
138,64592177,0,59,0,1,0,1,0,7000.0,1,1
139,67533565,0,35,1,0,0,1,1,17000.0,2,2
140,61234815,0,26,1,0,0,0,0,8000.0,1,0
141,74187392,0,39,1,0,0,1,1,11000.0,3,2
142,74984325,0,40,1,0,1,3,2,20000.0,2,1
143,59963388,0,57,1,0,0,3,0,7000.0,1,1
144,66521201,0,60,1,0,1,1,1,20000.0,2,2
145,66849149,0,45,1,0,1,0,0,8600.0,3,2
146,64359123,0,40,1,0,0,2,2,45000.0,1,0
147,62508107,0,38,1,0,0,1,0,8000.0,1,1
148,61428784,0,22,1,0,0,0,0,15000.0,1,0
149,67316365,0,49,1,0,0,3,0,12000.0,2,1
150,63810875,1,53,0,1,1,1,0,8500.0,3,2
151,66913678,0,40,1,0,1,1,0,15000.0,1,0
152,66584918,0,57,1,0,0,3,0,17000.0,3,3
153,64003837,0,34,1,0,0,0,0,21000.0,1,1
154,63911375,1,56,1,1,1,1,0,6000.0,1,0
155,64437168,0,32,1,0,1,2,2,15000.0,1,0
156,74016494,0,23,1,0,1,0,0,7000.0,1,0
157,67435863,0,54,0,1,1,0,0,11000.0,1,0
158,63891476,0,33,1,0,1,1,1,6000.0,1,0
159,67083166,0,33,1,0,0,1,2,14000.0,4,4
160,61537559,0,23,1,0,0,0,0,12000.0,1,1
161,63604196,0,34,1,0,0,1,1,20000.0,1,1
162,63898906,0,64,0,1,1,2,0,6000.0,1,0
163,66741910,0,37,1,0,1,2,2,20000.0,3,2
164,61974001,0,44,1,0,1,3,0,12000.0,1,0
165,66761419,0,26,1,0,0,1,1,16000.0,2,2
166,67217992,0,43,1,0,1,2,2,10000.0,2,2
167,61367683,0,49,1,0,1,1,0,15000.0,1,0
168,62255169,0,44,1,0,1,1,0,10000.0,2,0
169,63273839,0,60,1,0,1,0,0,15000.0,1,0
170,75289228,0,34,1,0,1,1,1,10000.0,1,0
171,63922027,0,53,1,0,1,0,0,10000.0,1,0
172,74551521,0,56,1,0,1,3,0,14000.0,3,3
173,64367877,0,49,1,0,1,2,1,7000.0,1,0
174,60051963,1,49,1,0,1,0,0,30000.0,1,1
175,61872969,0,34,0,1,1,2,1,11000.0,1,0
176,66741232,1,41,1,0,1,4,2,9340.0,3,3
177,66199923,0,26,1,0,1,0,0,13000.0,1,0
